model	nDCG	Gini	EPC
UserKNN_nn=150_sim=dot_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0592077723405223	0.1998414525456237	0.0553154207960038
UserKNN_nn=200_sim=dot_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0648408017367089	0.1860345783078462	0.0599912947376984
UserKNN_nn=100_sim=dot_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.052325285972935	0.2074192374016434	0.0494879344155419
UserKNN_nn=250_sim=dot_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0687046355259625	0.1727877850997659	0.0628791529857683
UserKNN_nn=10_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0372429349921773	0.2110599919820155	0.030471298964744
UserKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0758182529619952	0.120722092197785	0.0621961698048306
UserKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0890488685242041	0.0669799644669544	0.0733178428867122
UserKNN_nn=150_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.094307998671933	0.0459652688403631	0.0778607542093778
UserKNN_nn=200_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0972299387384096	0.0353257961208225	0.0802487165324205
UserKNN_nn=250_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0984202391616831	0.0287266920026404	0.0811724516214632
